formula,log
*,7.600902459542082
CH4O2,7.444599465146681
C11H24,7.444599465146681
C3O3,7.444599465146681
C3H2O2,7.444599465146681
H5N,7.444599465146681
C2H3NO2,7.444599465146681
C6H3N,7.444599465146681
C4H5NO,7.444599465146681
C6H8,7.444599465146681
H5NO,7.2622779083527265
C5H8O4,7.2622779083527265
H4O2,7.2622779083527265
HO3P,7.2622779083527265
H4O,7.2622779083527265
CH6,7.2622779083527265
C7H6O,7.108127228525468
C6H2,7.108127228525468
C8H8,7.108127228525468
C5H6O,7.108127228525468
C6H10,6.974595835900946
C2H5NO,6.974595835900946
C3H6O,6.974595835900946
C7H4,6.974595835900946
O2S,6.974595835900946
C2H6O,6.974595835900946
CH4S,6.974595835900946
C2HN,6.856812800244562
C3H6O2,6.856812800244562
C3H2O3,6.856812800244562
C5H4O,6.856812800244562
C5H4,6.751452284586736
C3H4O,6.751452284586736
C4H7N,6.751452284586736
C6H6O,6.569130727792781
C3H7N,6.569130727792781
C3H3NO,6.414980047965523
C4H4O,6.345987176478571
HO,6.281448655341
CH2N2,6.281448655341
C2H4O2,6.281448655341
C3H9N,6.220824033524566
C3H2O,6.220824033524566
H4,6.163665619684617
C2H3NO,6.163665619684617
C2H3N,6.109598398414342
C2H4O,6.058305104026791
C2O2,6.058305104026791
C3H4,6.058305104026791
C4H2,6.009514939857358
C2H6,5.962994924222466
C4H6,5.962994924222466
H2S,5.962994924222466
C3H5N,5.962994924222466
CH3NO,5.962994924222466
CH4O,5.918543161651632
HN,5.835161552712581
O,5.795940839559299
C2H5N,5.652839995918626
C5H8,5.498689316091368
S,5.470518439124672
CH5N,5.416451217854396
H3,5.247374887810462
C4H4,5.1420143721526355
C4H8,4.910902651189249
C6H6,4.879650107685144
CO2,4.736549264044472
CH3,4.6473181303165285
CH2O2,4.6473181303165285
C3H6,4.611386121090465
CH2,4.479326399077399
CHNO,4.42906456429651
CH2O,4.17123545499441
CH3N,4.148762599142352
CHN,4.148762599142352
C2H2O,3.8445512247393605
H,3.7965420055530004
C2H4,3.320696100683036
CH4,3.2732938617884524
H3N,2.994914181998985
H2O,2.42335399193841
CO,2.380739409813128
C2H2,2.0555277353301804
H2,1.4718081833043206
